Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
18558,3,0,0,3,2,"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!"
12494,3,0,1,2,2,"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is"
16553,3,0,2,1,1,RT @LettyBro_: Yall hoes super weakkkkkkkk
25265,6,1,5,0,1,you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint
18485,3,0,2,1,1,"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke."
23843,3,0,3,0,1,You know what fuck that bitch and you didnt react? girl it's me and you
13761,3,0,2,1,1,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;"
22112,3,0,2,1,1,Them hoes look so clean on foot.
14431,3,0,3,0,1,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair
17034,3,0,3,0,1,"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line."
24447,3,0,3,0,1,"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick"
3562,3,2,1,0,0,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
18453,3,0,0,3,2,"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball."
16137,3,0,3,0,1,RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit
14074,3,0,0,3,2,"Out of day care, I'm taking a kitty nap on you hosers."
24769,3,2,1,0,0,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up
5489,3,0,3,0,1,@_MckenzieNoel miss you bitch
7245,3,0,1,2,2,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.
4518,3,0,3,0,1,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also
19735,3,0,3,0,1,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr
23089,3,0,3,0,1,What mad cunt created masturbating? That dude needs a high 5...
22284,3,1,2,0,1,These hoes worried bout the wrong things in life
9285,3,0,0,3,2,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.
20171,3,0,3,0,1,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.
2819,3,0,3,0,1,@CallNeeshCakey I can't bitch
13101,3,0,3,0,1,Maybe I shoulda informed my cousin of my social anxiety before taking me to this over crowded bar. On the bright side Texas has hott bitches
13751,3,0,3,0,1,Nobody on planet Earth more protective than bull dykes
18132,3,0,3,0,1,"RT @TheVibeKing: I didn't go wrong when I started talking to you, I went wrong when I trusted your bitch ass"
6601,3,1,2,0,1,@kieffer_jason I heard your mama raised you like bitch
9719,3,0,2,1,1,God damn birds
5654,6,1,5,0,1,@alexrojas_10 yo fag Rojas
14939,3,0,3,0,1,RT @CanIFuckOrNah: i'm a bitch but a sweetheart u feel me
10886,6,1,5,0,1,I just want the bad hoes and I wanna reach the children
13626,3,0,3,0,1,Nigga you is a fool &#128553; &#8220;@BOSSMANRAN: I feel like eatin nd beatin a pussy up &#128553;&#8221;
7435,3,0,3,0,1,@tyracountryman nah gurl this pussy private &#128581;
10741,3,0,3,0,1,I hate ratchet country hoes I'm ashamed
5128,3,0,3,0,1,"@The_Red_Sea @shetheTRUTHtho bitch, yo muthafukin ass reacting off that vain females' tweet &amp; dont no the context, her dumb ass dont neither"
6460,3,0,3,0,1,@jonnnycashh #pussy
6891,3,2,1,0,0,@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot
18850,3,0,3,0,1,RT @_elennamichelle: @erykahminor_ miss ya too nigger &#128539;&#128536;&#128536;&#128536;&#128536;&#128525;
21860,3,1,2,0,1,That hoe beefing over tunchi chillllll ouutttt
8376,3,0,3,0,1,Bout to put me some hoes on backpage .. Try my pimp hand out! &#128526;&#128075;&#128162;
10880,3,1,2,0,1,I just wanna slap a couple of y'all bitches
18100,3,0,3,0,1,"RT @TheOnlyReed: Sooner or later ya pussy gon tell
Me the truth, let's hope it's not while I'm in it, cause Ima kill u"
22016,3,0,3,0,1,The fuck does a yellow cloud do?
6311,3,0,3,0,1,@iSkypeYourMomz @TrapGod3sss And I really be thuggin wtf I look like hanging around some lil chipotle Jamba Juice ass bitches&#8221; like &#128686;&#128686; &#128557;&#128514;&#128557;&#128514;
12112,3,0,0,3,2,In-N-Out is like the sunshine and blue sky. The song of a bird. A smile at the front porch. The perfume of the ocean on wind-kissed cheeks.
12710,3,0,3,0,1,Life is a bitch.... but I appreciate her mayne.
7160,3,0,3,0,1,"@san_sim lol Avila... It's simple, but I live in a pretty redneck area.. So it never gets pronounced correctly"
7354,3,0,3,0,1,@thejokerxo porn stars are 100% acceptable bro. Im was talking about these air mattress hoes....lol
287,3,0,0,3,2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
7844,3,0,1,2,2,"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament"
13800,3,0,3,0,1,"Notice I didn't tweet ""bytches"".... Bytch is different from bitch.... My logic... And it WERKS..."
5131,3,0,3,0,1,"@The__Sweetest no shit you are, what euros would call a typical American, fat as fuck and goes to eat fast food all the time, dumb bitch."
14024,3,0,3,0,1,Only the strong survive and that nigga a pussy
7376,3,0,2,1,1,@thisisricklol sexy bitch
18147,3,1,2,0,1,RT @The_Paradox: FAGGOT RT @80sbaby4life: I was in the club and there was this good lookin bitch. ..she had gold teeth tho. I was confused &#8230;
23418,3,2,1,0,0,Wish I coulda said more to @EmmaleeeParkerr tonight. Good seeing you fag. &#128540;
10667,3,0,3,0,1,I got these 5 dominican hoes that randomly hit me up every so often &amp; can't tell if they like me or tryna rob me.
7244,3,0,0,3,2,@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun
16985,3,0,0,3,2,"RT @NandaGorgeous: RT if you like 
BMTH
ADTR
PTV
YMAS
SWS
ATL
OM&amp;M
AA
MIW
BTF
WCAR
MCR
AFI
PE
BVB
WIM
BC
SS
CTE
NSN
GD
WATIC
AA!
BFMV
FOB
F&#8230;"
2976,3,0,3,0,1,"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa."
7765,3,0,2,1,1,Alcohol....drunk hoe &#171;@Mr__Rude i miss...&#187;
3971,6,4,2,0,0,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri"
24715,3,0,3,0,1,"me: *complains about suburban white girls*
suburban white girl: you're a bitch
me: ok u literally just proved my point"
18051,3,0,3,0,1,"RT @TheDouch3: Bitches tweeting ""relationship goals"" w/no man, job, or real desire to stop being a hoe or partying every weekend. Jus a iPh&#8230;"
6945,3,1,2,0,1,@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.
14092,3,0,3,0,1,Paper over pussy cause pussy Bring problems #PoweroftheP
18018,3,0,3,0,1,RT @ThatSlutAdrian: i'll be that bitch today
10799,3,2,1,0,0,I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.
1544,3,0,2,1,1,&#8220;@SexReIationship: Who else thinks lip biting is fucking sexy?&#8221;@MaiaPapayyya_ until that bitch bite too hard put a hoe out once for that
11135,3,1,2,0,1,I remember when Milz drunk ass fell asleep while we where all playing Gears smh. What a fag
20038,3,0,3,0,1,RT @maNIJEEtwa_: Jackie weird .. like bitch hang with ppl ya age&#128514;
19310,3,2,1,0,0,RT @dirtyskimask: Lmaooo Friday After Next? &#8220;@1stName_Bravo: You like that yo son's a fag?&#8221;
2834,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you
24785,3,0,3,0,1,no lie tho i'm weak for a pretty bitch. have me doing all type of shit that ain't really me.
7782,3,0,3,0,1,All I want is a 100 million dollars and a bad bitch
13173,3,0,3,0,1,Milk Marie she got pretty pussy call it pink cause a nigga fell in love with it.
13521,3,0,1,2,2,Nah. ITS OVER&gt; People don't tell #artists what do to. That's defies the definition of what WE ARE TRYING TO SHOW #youpeople. #retards #game7
3813,3,0,3,0,1,@JuiciStrawberry Kik is for hoes.You either gone shit or get off the pot.
3263,6,0,5,1,1,@FlightYung that's what I call a crash dummy hoe
18896,3,0,3,0,1,RT @_prettygirl92: bitches jus love to get me madd
12249,3,0,0,3,2,It's gonna be a long season for the Yankees if this simulation is right #BlueJays #Rays #Yankees #Orioles&#8230; http://t.co/Zc3k9NDB1T
20477,3,1,2,0,1,RT @slllick_: Trey Songz reply to Nicki Minaj &gt;&gt;&gt;&gt; ... That nigga spoke the truth on looking ass bitches lmao ... I knew someone was gonna &#8230;
4953,3,0,2,1,1,@Swishas_Erbs No bitch Linda over KOD
19342,3,0,3,0,1,RT @driswitdacake: bitches fwu when they wanna .. ha na bitch not over here
21310,3,0,3,0,1,Since you hoes wanna be childish &#128514;&#128514;&#128514; http://t.co/P6v3xPXnrZ
22903,3,1,0,2,2,"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?"
22100,6,0,6,0,1,The world is yours n every bitch in it
15802,3,0,3,0,1,RT @Harmssy: RT @StrangeKeith: &#8220;@QuannDaDon: Word RT @TAN1AAA: Having zero hoes &gt;&gt;&gt;&gt;&#8221;
14328,3,1,0,2,2,"RT @10thAmendment: Jihadi Killed #BrendanTevlin In N.J. W/ At Least 2 Others,Part Of Terrorist Ring 10 Yrs Ago http://t.co/qZtXJv9x8J http&#8230;"
4804,3,0,0,3,2,@SeanRossSapp Don't think anyone is mocking the man. I've seen people mock the bespectacle of social media mourning. Cultural zeitgeist of
6013,3,0,0,3,2,"@desamador you gotta be like me n the twins, just chug it all before everyone"
20024,3,1,2,0,1,RT @lovindadrew: I don't know a bitch in the world that claim they too busy for a nigga they really fuck with.
10329,3,0,3,0,1,I be using these fufu bitches &#128514;&#128514;
14124,3,0,3,0,1,"People calling and complaining to Spinellis because of our Purge special.
Lmao pussies. #LouisvillePurge"
17779,3,0,0,3,2,RT @SpacePlankton: Saw a man in a yellow hat at the Grand Canyon today. He was hanging out next to a curious gorge.
5020,3,0,3,0,1,@ThankYouAriana no one asked bitch
1710,3,0,3,0,1,&#8220;@_chelousmuch_: bitch im weakkk vic &#128514;&#128514;&#128514;&#8221;&#128514;&#128514;
15344,3,0,3,0,1,RT @DevyDevBlack: Yung Berg trying to fuck all these hoes.
11213,3,0,2,1,1,I swear these hoes *aint got nothing on you * &#9996;&#65039;&#128522;&#128591;
18180,3,0,3,0,1,RT @Tierrraaaaa: no sex bitch I only want the neck bitch .
18448,3,0,3,0,1,RT @WeLoveKi: Hol on bitch &#128553;&#128514;&#128557; https://t.co/RYESvYaI2u
636,3,0,3,0,1,"""bitch freak my shit"""
3124,3,0,1,2,2,@DoeMostDope @mattrbennett209 @JohnnieGoings ha booner has that twitter @boone_boone5356 ha
17622,3,0,0,3,2,RT @Seinfeld2000: Uncle leo find iWatch in trash can http://t.co/T7GCSMCYLB
12638,3,0,3,0,1,LeBron bout to cry lil bitch
6182,6,1,2,3,2,@geokthree I literally just told @Black_SinS to his face how trash he is at the shop in hooping
5339,3,0,3,0,1,@X_XPDOTJDOT she remembers the dick lol and wants it again. I recommend you shoot a bitch if she show up. She might snap
3743,3,0,3,0,1,@JennaHord12 Nooo Amber's supposed to kill me fag
18215,3,0,3,0,1,RT @TorahBlaze: @1SonofYahweh hell yea! I don't know what's wrong w the brothas that love these cave hoes so damn much... #StopItNow
23229,3,1,0,2,2,When you colored every day is Sunday
8886,3,0,3,0,1,Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.
21158,9,1,7,1,1,She a hoe cause your boyfriend want her? she scary cause she dont talk shit like y'all? she ugly cause you don't like her? GROW UP!
11383,3,1,2,0,1,I wish everyone I knew wasn't a faggot a try hard or a sketchball
5614,3,0,3,0,1,@aaliyahhhm I knowww righttt. I don't even know how to use this shit. How I update my status on this hoe?
19509,3,0,2,1,1,RT @haztv: Stop forcing ya kids to take these pictures u trying to trap niggas online wit u funky hoes
11660,3,0,2,1,1,I'm retarded hungover and all we had were beers. A lot of beers.
18573,3,0,2,1,1,RT @Yansii_: This bitch don went super saiyan 5 at walmart http://t.co/xkF59toVcK
2162,3,0,3,0,1,"' Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?"
2840,3,0,3,0,1,@CapoDaAssHole wiz had a warrant like a bitch
7883,3,0,3,0,1,Allergies ain't bothered me all summer now all of a sudden in the middle of august shit is startin to get real. Ain't that about a bitch
12185,3,0,3,0,1,It aint nuffin to cut that bitch off!!!!
1928,3,0,3,0,1,&#8220;@salsteelo: I got 1 felony!!!&#8221; I got bitches
2912,3,2,1,0,0,@Chink_19 shut up chink.!!!
18640,3,2,1,0,0,RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag
18461,3,0,3,0,1,RT @WhiteBoyCeezy: these hoes too familiar
744,3,2,1,0,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;
18192,3,0,3,0,1,RT @TittyFlex: So they both was selling pussy and doing dirt together and they fell out so they putting each other on blast even though the&#8230;
21547,3,0,3,0,1,Son of a bitch
17517,6,2,1,3,2,"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. 
#IStandWithIsr&#8230;"
25167,6,0,6,0,1,well ain't that a bitch
3814,6,0,6,0,1,@Juicy_james01 ain't no love 4 these hoes
16379,3,0,3,0,1,RT @KiiingJaay_: I'm about my commas bitch period
525,3,0,3,0,1,"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama."""
2295,3,0,3,0,1,"300 bitch we hot, we done took flight !"
14504,3,0,0,3,2,RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;
100,3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
18404,3,0,3,0,1,"RT @WBeezy_: ""@I_DontKIAra: my pussy dry 24/7 &#128530;"" http://t.co/yPvNTYdU28"
19020,3,0,3,0,1,"RT @babyyhogg: Ayy fag , you still having your party tonight ?! @weidie1211 &#127867;&#127867;&#128540;"
1216,6,0,6,0,1,&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU
9248,6,0,6,0,1,Everybody got foreign bitches and foreign cars &#128564;&#128564;
2955,3,0,3,0,1,@Coley_Cee yes bitch I do realize dat
3468,3,0,0,3,2,"@HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels"
17165,3,0,3,0,1,"RT @OfficiallyIce: RT @Manatti23: ""I fucked your bitch cause she gave me a boner, she went down twice like Adrien Broner..."" #FreckBars"
22483,3,0,3,0,1,This bitch tweets been on point the few minutes I been on.
3655,3,3,0,0,0,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there."
2762,3,0,0,3,2,"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc"
15155,3,0,3,0,1,RT @CrooklynxDodger: When @MeechIsDEAD said &#8220;Fast bitch I call her Bizzy (busy) cause she only bone thugs&#8221; http://t.co/qs9XUeu1VA
16355,3,0,3,0,1,"RT @KevinHart2ReaI: All Bow Wow hoes on the stage, lol"
23600,3,0,3,0,1,Yea bitch &#128514; how dat shit feel http://t.co/C7H0TfJDET
8673,3,0,0,3,2,Charlie is so adorable. http://t.co/TMpBYyjGFL
5312,3,0,2,1,1,@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk
21435,3,0,3,0,1,"So the Flash pops is the Dawson pops. 

I think he mighta actually killed the mom. 

Cuz Gail was a lying, cheating bitch."
22504,3,0,3,0,1,This foo came to the club wit his bitch on a leash &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/wC4ub0UN6b
12137,3,0,3,0,1,Ion know why this bitch insists on telling me where she be going now. Idgaf about chu bitch like damn.
20006,3,0,3,0,1,RT @lonernigga: School is so pointless. I'm just trying to pass the class and get out this bitch
2589,3,0,3,0,1,@B_McC10ud that's meant toward my dads gf shes a bitch dude
22866,3,0,3,0,1,Unlike some of yall boring ass bitches lol
4530,3,0,3,0,1,@PennyTheGOAT right in the pussy
13924,3,0,3,0,1,Old lady went to pay and reached all the way over my plate. Hate eating on bar countertops. Stupid white bitch.
17170,3,0,3,0,1,RT @OhArias: I make the pussy cringe http://t.co/LNB2UXXQem
19036,3,2,1,0,0,RT @bankheist: you're a retard @ShawnaCarr99
18340,3,0,3,0,1,"RT @UnicornCowboy: @UglyNi99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus&#8230;"
3515,3,0,3,0,1,@Huntermoore fuck my throbbing pussy slowly
7556,3,0,2,1,1,@xsotoxevelynx haha yuhhh did I hit that hoe or what
24625,3,0,3,0,1,just got done biking with my dyke
3763,3,0,3,0,1,@JimNorton Hey Jim you'll love this http://www.wwtdd.com/2010/05/gabourey-sidibe-is-a-complete-bitch/
7111,3,0,3,0,1,@reneeXOmarie yeah she didnt wana bring that pussy to us or tell us where he was so we could just go find one Mexican in this city full
17714,3,0,0,3,2,"RT @SimplyPerfectt_: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst."
11408,3,0,3,0,1,I wonder where all these bitches I got at ?
18908,3,3,0,0,0,RT @_tiffnasty: Why do y'all niggas entertain that Nicole bitch? I don't see how y'all can ever take a bitch that posted naked pics serious&#8230;
24373,3,1,2,0,1,"gotta tip for the monogamous niggas, yo bitch fuckin' anonymous nigga."
12945,3,0,3,0,1,Lolololol not to be a hoe but that was a nyyce one
981,3,0,3,0,1,&#128131;&#128131; &amp; if you ain't a ho get up out my trap hooouseee.
10647,3,0,3,0,1,I got more private tracks than public on my soundcloud. I needa finish these joints so i can sick em on yall hoes
20647,3,1,0,2,2,RT @toddknife: Full @weakenednachos set (except the last song) from Southern Darkness Fest last month. Who's the ape on guitar? https://t.c&#8230;
18823,3,1,2,0,1,RT @__queenshaun: &#8220;@JuicelessEss_: If you ask me every bitch gay.&#8221; true dat true dat
3575,3,0,3,0,1,@Ilovebamf is my big long lost brother I swear. I don't know what I'd do without this wetback.
21131,3,0,0,3,2,Serious question here; How many country songs mention honkey tonk(s)?
12443,3,0,0,3,2,Just in case the day couldn't get better wife's Rav 4 had a flat and being the redneck I am I put 16 inch rims on it so there goes $200x2
253,3,0,3,0,1,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
10377,3,0,3,0,1,I can not &amp; will not fuck with theses dawg ass hoes no more ...
7865,3,0,3,0,1,"All theses hoes on me , they so phony &#128534;"
2012,3,0,0,3,2,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/8KUzaPFCMF
6980,3,0,1,2,2,@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to
20555,3,0,0,3,2,RT @tbhjuststop: my score on flappy bird is higher than the broncos score right now
13091,3,0,3,0,1,"Mary Jane is a dumb bitch
Peter has a job saving the city as Spiderman and she's bitching about how he hasn't came to her play"
21620,3,2,1,0,0,"Still really confused re #humplayproblems i think lucricus
Is a fag dagger"
986,3,0,3,0,1,&#128175; my bitch &#128079;&#128523;
